Situasjon;Videofil;Snittpuls;Standardavvik;SNR_red;SNR_green;SNR_blue;Faktiskpuls;Differanse^2
1;torsteinFinger1.mp4;85;16;-;-;-;76;81
1;torsteinFinger2.mp4;86;8;-;-;-;75;121
1;torsteinFinger3.mp4;81;1;0.094;0.105;0.034;77;16
1;torsteinFinger4.mp4;72;1;-;-;-;75;9
1;torsteinFinger5.mp4;72;2;-;-;-;73;1
1;gauteFinger1.mp4;89;19;-;-;-;71;324
1;gauteFinger2.mp4;75;11;-;-;-;72;9
1;gauteFinger3.mp4;70;5;-;-;-;69;1
1;gauteFinger4.mp4;102;55;-;-;-;73;841
1;gauteFinger5.mp4;85;23;-;-;-;76;81
-;SnittTorstein;79,2;45,6;-;-;-;;
-;SnittGaute;84,2;251,2;-;-;-;;
2;torsteinFinger1.mp4;69;1;0.56;0.138;NaN;72;9
2;torsteinFinger2.mp4;83;2;-;-;-;79;16
2;torsteinFinger3.mp4;67;1;-;-;-;74;49
2;torsteinFinger4.mp4;100;29;-;-;-;79;441
2;torsteinFinger5.mp4;69;3;-;-;-;60;81
2;gauteFinger1.mp4;81;9;-;-;-;79;4
2;gauteFinger2.mp4;85;4;-;-;-;79;36
2;gauteFinger3.mp4;64;12;-;-;-;76;144
2;gauteFinger4.mp4;60;3;-;-;-;68;64
2;gauteFinger5.mp4;80;13;-;-;-;73;49
-;SnittTorstein;77,6;119,2;-;-;-;;
-;SnittGaute;74,0;59,4;-;-;-;;
